"","Element ID","/Layer_1/Native&Riparian Veg. Actual ET (-)(AF/year)"
"250",250,91.6779976183503
"251",251,47.6973929229567
"252",252,188.169538405978
"253",253,269.421282476585
"254",254,91.0000946712068
"255",255,355.478439632888
"256",256,458.21475985241
"257",257,427.878985860346
"258",258,187.213581363237
"259",259,491.151415655672
"260",260,128.920029542457
"261",261,79.9396822100152
"262",262,109.17208178447
"263",263,209.702676229084
"264",264,254.306733688804
"265",265,227.082822962233
"266",266,54.8917223893832
"267",267,145.237558350885
"268",268,173.218307880813
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,86.7916973257798
"274",274,196.316805636576
"275",275,130.566346478714
"276",276,43.3461570700539
"277",277,121.079212436552
"278",278,65.8229843931642
"279",279,6.7992608198327
"280",280,16.9362104904183
"281",281,40.92000351878
"282",282,187.729496116427
"283",283,0
"284",284,49.2660924852865
