"","Element ID","/Layer_1/Native&Riparian Veg. Percolation (-)(AF/year)"
"309",309,77.7502097364726
"310",310,187.527656783512
"311",311,212.370692409896
"312",312,324.900707792756
"313",313,389.471464577512
"314",314,217.134761712114
"315",315,29.5228915284444
"316",316,17.7754177568456
"317",317,162.912338170363
"318",318,211.92348891504
"319",319,168.625661453039
"320",320,64.828545336587
"321",321,216.452441700616
"322",322,310.538235482393
"323",323,46.7546972507729
"324",324,0
"325",325,0
"326",326,54.8506032368098
"327",327,17.7348488788228
"328",328,0
"329",329,105.582815616942
"330",330,45.7625413783455
"331",331,61.8217166918099
"332",332,23.8703349120002
"333",333,278.804290959338
"334",334,54.4386027097172
"335",335,18.49791793953
"336",336,24.9949959938929
"337",337,242.633177361465
"338",338,212.27416592238
"339",339,300.275414625807
"340",340,394.29953472201
"341",341,557.977318482852
"342",342,469.324633316593
"343",343,455.435184670494
"344",344,669.661809024052
"345",345,1247.17773365557
"346",346,1779.31111136303
"347",347,43.9912614720585
"348",348,107.025505513426
"349",349,0
"350",350,0
"351",351,0
"352",352,60.8006683946077
"353",353,161.306970185537
"354",354,326.959565927726
"355",355,165.13343903795
"356",356,116.281698246839
"357",357,59.0359624182345
"358",358,96.2827401274895
"359",359,223.188385499113
"360",360,25.0946578209593
"361",361,76.5484377789267
"362",362,170.549850736568
"363",363,1.78610462128501
"364",364,314.390618185046
"365",365,294.450623578134
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,47.2389007084972
"373",373,203.781424716406
"374",374,187.98599115286
"375",375,218.308108296177
"376",376,86.7894795768427
"377",377,172.122949284337
"378",378,47.9725864989903
"379",379,106.493393120942
"380",380,147.626327255989
"381",381,29.9561098622798
"382",382,1.11644213364592
"383",383,3.8348964108182
"384",384,227.119653789918
"385",385,204.296501721268
"386",386,329.085761581616
"387",387,112.324771196886
"388",388,370.644878011633
"389",389,440.224266925921
"390",390,712.174524272119
"391",391,521.930639211022
