"","Element ID","/Layer_1/Native&Riparian Veg. Runoff(AF/year)"
"308",308,242.943232746471
"309",309,150.448377098889
"310",310,249.889806668157
"311",311,103.711780227702
"312",312,49.7581967234143
"313",313,110.194590253209
"314",314,76.5102372486688
"315",315,2.13937397277778
"316",316,1.39727676951585
"317",317,21.5354282017153
"318",318,27.316130144911
"319",319,16.9848871765204
"320",320,7.58125089326957
"321",321,22.298750705555
"322",322,35.5886724732508
"323",323,13.2470121965096
"324",324,0
"325",325,0
"326",326,5.4638009110592
"327",327,4.9448114035791
"328",328,0
"329",329,132.534281084346
"330",330,88.2089546546994
"331",331,60.6504725414091
"332",332,9.55052019332592
"333",333,72.1505789181525
"334",334,75.685126592418
"335",335,59.7439140311411
"336",336,14.9615964344587
"337",337,150.70958899048
"338",338,118.537110350795
"339",339,251.670555316785
"340",340,322.24379744923
"341",341,360.114044682363
"342",342,392.685672609565
"343",343,382.596164441405
"344",344,280.6719415812
"345",345,345.902714984146
"346",346,510.426273124856
"347",347,25.7258104696957
"348",348,229.116004590757
"349",349,0
"350",350,0
"351",351,0
"352",352,81.8907767499619
"353",353,210.982212091952
"354",354,350.70804895574
"355",355,300.888451286271
"356",356,229.861023134353
"357",357,71.0246860786328
"358",358,169.442683565196
"359",359,78.0784880515309
"360",360,14.6975488300495
"361",361,9.50686240809908
"362",362,67.3301071219668
"363",363,1.0665817268013
"364",364,106.006430952938
"365",365,302.188952271482
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,3.70248673746102
"373",373,78.4632608221725
"374",374,21.7552825262016
"375",375,24.8353721164081
"376",376,9.75763043244242
"377",377,16.8329047381524
"378",378,3.99171371454644
"379",379,25.135193687176
"380",380,60.2896307215707
"381",381,25.0821518051759
"382",382,0.955968701760913
"383",383,2.46110506295526
"384",384,84.3256065967945
"385",385,217.246847362669
"386",386,261.146439647301
"387",387,128.152332431432
"388",388,254.590706633867
"389",389,357.589805736256
"390",390,303.074399452756
"391",391,144.037174724799
"392",392,157.872769057776
"393",393,476.236851182608
"394",394,183.161743866758
"395",395,603.936231281687
"396",396,155.75082713253
"397",397,286.391212943413
"398",398,0
"399",399,523.082450465242
"400",400,479.857755700381
"401",401,123.104767537337
"402",402,37.0681931215851
"403",403,128.045191518868
"404",404,0
"405",405,0
"406",406,470.786752072571
"407",407,288.288752435235
"408",408,188.549683897134
"409",409,203.243917443708
"410",410,0
"411",411,0
"412",412,400.882538442588
"413",413,416.847839540826
"414",414,339.132388869057
"415",415,216.895125046895
"416",416,346.927737877546
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,5.83363784228113
"423",423,0.024217406252026
"424",424,15.3985404694626
"425",425,5.75275157508252
"426",426,0.065510784011604
"427",427,38.5879568118532
"428",428,3.40207434676631
"429",429,21.7400175741791
"430",430,94.0346545721016
"431",431,74.1767749983894
"432",432,211.71565084301
"433",433,276.945813644129
"434",434,118.572606786167
"435",435,166.141105428186
"436",436,189.346448156077
"437",437,99.0636703908903
"438",438,233.575035272704
"439",439,264.995946041173
"440",440,121.914366328033
"441",441,281.376170927649
"442",442,325.121849281361
"443",443,240.532941249852
"444",444,477.773880505655
"445",445,166.246385331685
"446",446,331.786709946508
"447",447,0
"448",448,464.032012501771
"449",449,482.056562130902
"450",450,591.984894389993
"451",451,542.114040015912
"452",452,704.572710153464
"453",453,53.2596581857835
"454",454,120.341958701779
"455",455,738.169467238058
"456",456,492.945146553219
"457",457,0
"458",458,0
"459",459,382.605135704169
"460",460,481.723686959221
"461",461,479.990754521869
"462",462,332.577493115014
"463",463,366.48609251641
"464",464,320.389987243694
"465",465,388.944197633083
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,20.2107815638512
"471",471,16.4950059710551
"472",472,30.3297760621655
"473",473,16.3205440668316
"474",474,0
"475",475,12.0679429090372
"476",476,15.1669540127224
"477",477,56.3174537206603
"478",478,46.3208147220063
"479",479,147.410144098751
"480",480,64.0616380979257
"481",481,36.0078472030566
"482",482,94.666345448552
"483",483,159.449868092144
"484",484,163.769093967293
"485",485,156.766652705158
"486",486,80.5465197523901
"487",487,91.4044781922816
"488",488,217.029603693616
"489",489,186.993872485312
"490",490,167.737274185586
"491",491,200.004989646905
"492",492,81.0519418654542
"493",493,166.253709915373
"494",494,257.942049730752
"495",495,196.932599427984
"496",496,364.873556346952
"497",497,349.372631604112
"498",498,399.467797024995
"499",499,615.007545939351
"500",500,489.239677469471
"501",501,443.209351384447
"502",502,445.861875705545
"503",503,521.711014103255
"504",504,459.48452976036
"505",505,447.454649432746
"506",506,521.851827122667
"507",507,683.286367242616
"508",508,334.667989998061
"509",509,617.357421297832
"510",510,224.86205977108
"511",511,425.390351119691
"512",512,421.423558521401
"513",513,465.237954481999
"514",514,583.814149023853
"515",515,411.65499172936
"516",516,411.039893005747
"517",517,552.905786636503
"518",518,396.874075942065
"519",519,0
"520",520,305.527445170187
"521",521,6.25657257115126
"522",522,13.7336948691689
"523",523,54.9430829975323
"524",524,37.0484454078465
"525",525,17.409086590113
"526",526,14.5068138742595
"527",527,15.7506378447622
"528",528,17.5390111570283
"529",529,2.33728253202991
"530",530,101.949344079488
"531",531,172.336683221909
"532",532,144.315716628626
"533",533,157.09166982532
"534",534,139.706159286832
"535",535,158.356056598384
"536",536,87.625210110112
"537",537,178.480116119358
"538",538,164.86275708991
"539",539,157.045312307175
"540",540,162.362207699276
"541",541,141.227346911747
"542",542,108.812123255621
"543",543,45.7271500256584
"544",544,168.097024792361
"545",545,62.8082403918908
"546",546,80.5538704180763
"547",547,206.830250372152
"548",548,297.972112428469
"549",549,379.908806963172
"550",550,188.792261405297
"551",551,658.838584000765
"552",552,616.125479195613
"553",553,213.905623572941
"554",554,341.311918852302
"555",555,281.22392017839
"556",556,175.903962155813
"557",557,277.709136153263
"558",558,281.617494522811
"559",559,201.623323825082
"560",560,465.659488712899
"561",561,409.954835287203
"562",562,344.090709058226
"563",563,403.951326521251
"564",564,279.558194367368
"565",565,487.248024713152
"566",566,444.084674062454
"567",567,547.151391951299
"568",568,501.910212346862
"569",569,574.517109574829
"570",570,201.455193000997
"571",571,369.116149885747
"572",572,502.992698355441
"573",573,369.470692751729
"574",574,473.742175590979
"575",575,548.638217352373
"576",576,491.947635221133
"577",577,329.234500829201
"578",578,55.8986437493575
"579",579,52.025438196218
"580",580,47.6234277582701
"581",581,13.1692974225744
"582",582,1.35341493233141
"583",583,2.85598441211253
"584",584,0.00688827111700224
"585",585,25.2067771895303
"586",586,113.551715206645
"587",587,180.112249461956
"588",588,181.188047343297
"589",589,225.467126594322
"590",590,177.679795264376
"591",591,227.834696727825
"592",592,99.8678239010995
"593",593,94.1588369907802
"594",594,105.501392592447
"595",595,131.364678645724
"596",596,89.3689427296479
"597",597,88.5400230072062
"598",598,43.1265274031364
"599",599,105.359288525985
"600",600,75.2331125317
"601",601,20.1643547628306
"602",602,8.02148934650417
"603",603,18.3008830258217
"604",604,18.2892202477299
"605",605,34.0356095149249
"606",606,20.3080891399541
"607",607,296.768632756906
"608",608,171.035703909336
"609",609,539.790603972725
"610",610,614.44327868394
"611",611,930.339736714236
"612",612,477.253419891534
"613",613,805.615015049875
"614",614,474.712788547381
"615",615,158.869719099066
"616",616,42.117989521012
"617",617,103.768427931707
"618",618,42.444635183404
"619",619,41.7531017535137
"620",620,116.38640796153
"621",621,148.108892166393
"622",622,213.430989396533
"623",623,244.257566602227
"624",624,321.684742846092
"625",625,322.71688739905
"626",626,223.947584379461
"627",627,373.518757870946
"628",628,249.550592251609
"629",629,64.1221548596307
"630",630,104.84419952253
"631",631,320.641673531264
"632",632,523.061412504298
"633",633,508.925333582986
"634",634,412.698021212878
"635",635,368.154529337639
"636",636,355.363672746478
"637",637,485.88991725359
"638",638,403.48797370738
"639",639,0
"640",640,328.406079550722
"641",641,0
"642",642,362.252708329617
"643",643,168.771153447338
"644",644,58.7474412065128
"645",645,291.695837536417
"646",646,50.1573597845854
"647",647,48.8329733267465
"648",648,0.991126674518919
"649",649,5.81430020623787
"650",650,0
"651",651,0.752841655298871
"652",652,0.177413392184314
"653",653,75.54927826347
"654",654,114.979695634548
"655",655,101.654503710019
"656",656,69.3803557344457
"657",657,211.483584842122
"658",658,67.6231496520617
"659",659,115.260989064225
"660",660,63.6802484176523
"661",661,86.5764856031314
"662",662,45.2249855840271
"663",663,69.516646990198
"664",664,25.0207345853567
"665",665,8.23229985344841
"666",666,35.29669976485
"667",667,21.1245058922492
"668",668,53.6119089093056
"669",669,70.4828850669185
"670",670,57.6128538309082
"671",671,23.4048444497253
"672",672,120.647466953242
"673",673,97.0195819263183
"674",674,50.5821469450293
"675",675,11.0586126417351
"676",676,20.2212279906978
"677",677,33.2674428635496
"678",678,361.578768857985
"679",679,808.720816295583
"680",680,568.889621274987
"681",681,45.2148376425562
"682",682,79.5430537952109
"683",683,60.5504230187256
"684",684,49.3078635158996
"685",685,56.5445430220214
"686",686,40.9484488401758
"687",687,167.634557793855
"688",688,68.1318488265854
"689",689,109.150235060709
"690",690,92.3425981123224
"691",691,75.0441756406005
"692",692,35.4827651121979
"693",693,68.0630889385555
"694",694,200.993039894031
"695",695,76.5814514126467
"696",696,107.200360071973
"697",697,16.802784760934
"698",698,113.132965383184
"699",699,96.1643348009443
"700",700,109.753450555829
"701",701,238.430173329569
"702",702,339.479739573519
"703",703,274.295619638631
"704",704,31.926311500553
"705",705,386.455226782392
"706",706,0
"707",707,0
