"","Element ID","/Layer_1/Native&Riparian Veg. Potential ET(AF/year)"
"311",311,285.165040033172
"312",312,248.246441032663
"313",313,406.558099800539
"314",314,269.972734482594
"315",315,95.2798580917937
"316",316,62.6926708177563
"317",317,216.779852187873
"318",318,212.4098426711
"319",319,328.986030337802
"320",320,173.394684874474
"321",321,410.635756412526
"322",322,391.129696508092
"323",323,205.719467170398
"324",324,0
"325",325,0
"326",326,84.9399176531843
"327",327,56.4283502068466
"328",328,0
"329",329,188.916067672104
"330",330,109.481166554951
"331",331,100.221697331528
"332",332,35.8202062959906
"333",333,510.269308832101
"334",334,108.155918773558
"335",335,82.7878839899244
"336",336,27.0359211893363
"337",337,274.818829129175
"338",338,253.365468502614
"339",339,419.415222192228
"340",340,550.304711217662
"341",341,699.869738732832
"342",342,659.920471856664
"343",343,696.527848540039
"344",344,684.602100830712
"345",345,898.877965630287
"346",346,1137.28538844946
"347",347,163.369448667457
"348",348,213.924504855669
"349",349,0
"350",350,0
"351",351,0
"352",352,83.3682499263478
"353",353,225.313065461245
"354",354,400.640006926
"355",355,299.913605765099
"356",356,269.177950790024
"357",357,180.284127576356
"358",358,410.818131271731
"359",359,212.567879253515
"360",360,105.509396231413
"361",361,101.838492185515
"362",362,155.02451670264
"363",363,8.11231825540537
"364",364,370.185868040913
"365",365,409.240135294405
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,128.401949312267
"373",373,322.048445581793
"374",374,221.526854506318
"375",375,171.430889131458
"376",376,70.1516613947726
"377",377,228.635174672001
"378",378,166.398045651591
"379",379,200.714423138594
"380",380,442.391436951573
"381",381,152.540939301112
"382",382,8.04083141885493
"383",383,18.7078206746457
"384",384,320.403188386719
"385",385,344.828811851665
"386",386,454.965254037243
"387",387,196.529037565947
"388",388,502.806370085113
"389",389,656.464046558736
"390",390,765.990764014483
"391",391,414.86663428979
"392",392,453.94045783227
"393",393,1253.78332389601
"394",394,420.441565614021
"395",395,1342.50918127122
"396",396,338.171144140829
"397",397,283.573598823947
"398",398,0
"399",399,542.756534388583
"400",400,739.752701404274
"401",401,122.056184407135
"402",402,39.5952388752606
"403",403,131.523263801188
"404",404,0
"405",405,0
"406",406,457.995962263607
"407",407,391.818597680352
"408",408,281.297302573691
"409",409,258.883431267995
"410",410,0
"411",411,0
"412",412,428.493880257074
"413",413,550.25898192824
"414",414,536.127268603696
"415",415,547.83968871391
"416",416,563.756435504671
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,46.0019840186257
"423",423,2.20385643963549
"424",424,300.913816826452
"425",425,48.1730001215626
"426",426,5.6991542031757
"427",427,250.660408887724
"428",428,145.628641242485
"429",429,141.25323355758
"430",430,209.834440890793
"431",431,114.402712821782
"432",432,300.874225498285
"433",433,425.5776095794
