"","Element ID","/Layer_1/Native&Riparian Veg. Area(AF/year)"
"302",302,9037.47409577598
"303",303,366.934641041159
"304",304,1308.97874172
"305",305,296.386095133448
"306",306,32.4004338730395
"307",307,790.433390734616
"308",308,2152.49502098964
"309",309,1283.6459635611
"310",310,2471.48354140817
"311",311,1594.84068778396
"312",312,1942.24197751002
"313",313,2355.69656530272
"314",314,1642.83063720999
"315",315,243.829220198944
"316",316,160.435850176809
"317",317,1174.50941042203
"318",318,1429.70431164829
"319",319,1298.5855025852
"320",320,587.002733916275
"321",321,1703.25263976971
"322",322,2221.29485344566
"323",323,526.453526112259
"324",324,0
"325",325,0
"326",326,427.330588249399
"327",327,170.405919895729
"328",328,0
"329",329,1672.67730984293
"330",330,968.920939206107
"331",331,884.05839648609
"332",332,192.993806234082
"333",333,2225.74453638732
"334",334,937.238773256729
"335",335,728.902901317579
"336",336,240.61752932895
"337",337,2434.67648593079
"338",338,2145.94585623524
"339",339,3715.68564842724
"340",340,4875.26253111577
"341",341,6200.28984733948
"342",342,5846.37108201405
"343",343,6170.68335532168
"344",344,6065.03070547578
"345",345,7963.34462808112
"346",346,10075.4449825163
"347",347,418.076326789468
"348",348,1895.20115265345
"349",349,0
"350",350,0
"351",351,0
"352",352,737.452243664558
"353",353,1996.0947515486
"354",354,3549.35215784429
"355",355,2656.99626943605
"356",356,2054.72071030875
"357",357,796.627946994333
"358",358,1781.35426074251
"359",359,1583.91214442936
"360",360,270.007474003392
"361",361,525.566670880252
"362",362,1348.57812026068
"363",363,20.7601089446995
"364",364,2414.63861562107
"365",365,3625.54246249296
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,396.017596967182
"373",373,1882.6444865004
"374",374,1389.44442972788
"375",375,1518.74147798798
"376",376,621.48798533215
"377",377,1329.77445738014
"378",378,507.316082474799
"379",379,879.157427122405
"380",380,1606.07520558734
"381",381,501.06972107259
"382",382,22.1553714674589
"383",383,55.0296737051082
"384",384,1819.86182378819
"385",385,3054.90931078846
"386",386,4030.63068651437
"387",387,1741.09113294968
"388",388,4454.46496552473
"389",389,5815.74989996147
"390",390,6786.06959899981
"391",391,3675.38877340835
"392",392,4021.55180632619
"393",393,11107.5241344069
"394",394,3724.77823572719
"395",395,11893.5647391572
"396",396,1968.73255827047
"397",397,2512.23678987044
"398",398,0
"399",399,4808.39168134306
"400",400,5681.81685210457
"401",401,1079.67451929386
"402",402,350.248769605247
"403",403,1163.41748411404
"404",404,0
"405",405,0
"406",406,4057.48035353983
"407",407,3471.20148042816
"408",408,2445.984047634
"409",409,2293.50152135683
"410",410,0
"411",411,0
"412",412,3796.11534600046
"413",413,4874.85740594284
"414",414,4749.66165335847
"415",415,4853.42439016235
"416",416,4994.43412107043
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,406.920532063107
"423",423,5.63985531248281
"424",424,1449.40578420244
"425",425,426.124549462874
"426",426,14.5830031933012
"427",427,1053.88807992441
"428",428,478.145787318986
"429",429,491.910915038666
"430",430,1653.04983835996
"431",431,1013.51714406353
"432",432,2665.50659707161
"433",433,3770.27950473718
"434",434,2698.75922460662
"435",435,3744.93977589334
"436",436,5162.37818908245
"437",437,2933.60910678658
"438",438,6510.94768132516
"439",439,6817.97472181661
"440",440,2790.04117506501
"441",441,6110.84344109659
"442",442,6597.27672871598
"443",443,3929.93692112385
"444",444,7680.69918009627
"445",445,2048.34799466653
"446",446,2885.66290412731
"447",447,0
"448",448,5398.93547257862
"449",449,6403.54873354861
"450",450,6365.9407407954
"451",451,7442.9721010697
"452",452,8199.2390887376
"453",453,534.94479370923
"454",454,1318.55322232511
"455",455,7306.26994682093
"456",456,5491.25090823991
"457",457,0
"458",458,0
"459",459,3443.2415477081
"460",460,5404.010653428
"461",461,5628.14537756533
"462",462,4627.80393768108
"463",463,5279.60834611888
"464",464,4948.38918278059
"465",465,6570.71456708966
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,621.973002227377
"471",471,525.990916472943
"472",472,659.856219438371
"473",473,570.883315512745
"474",474,0
"475",475,1158.9827759501
"476",476,1629.86032706945
"477",477,1320.75212781302
"478",478,1077.19943636093
"479",479,2049.16047982653
"480",480,1382.21949968725
"481",481,863.710948928338
"482",482,2544.09971264799
"483",483,4547.31909060637
"484",484,4814.95411405485
"485",485,4555.65035982658
"486",486,2236.49407347215
"487",487,2350.94476175649
"488",488,5233.91984243243
"489",489,4536.80781891688
"490",490,3846.75828677348
"491",491,4510.16417275563
"492",492,1843.46802044881
"493",493,3507.8498555749
"494",494,5373.14103634933
"495",495,1909.28736626076
"496",496,3207.32449059795
"497",497,4030.96608323305
"498",498,4919.40249279686
"499",499,6643.08340527972
"500",500,5200.08558803079
"501",501,5140.70960303888
"502",502,5532.30841953172
"503",503,7766.11574284513
"504",504,6612.82725214884
"505",505,5485.31080972046
"506",506,6924.28151678489
"507",507,7541.41406305201
"508",508,3340.39315401949
"509",509,6937.82568767756
"510",510,2223.98469945413
"511",511,4930.90695576352
"512",512,5328.79438168901
"513",513,6116.27116794047
"514",514,7484.60065534818
"515",515,6161.52264280775
"516",516,6520.56492243106
"517",517,6618.10840816598
"518",518,5601.2321331891
"519",519,0
"520",520,5644.80973448962
"521",521,138.105049604264
"522",522,160.648590197271
"523",523,711.471850427808
"524",524,632.777757923993
"525",525,469.089410337606
"526",526,1415.54100630599
"527",527,2059.86874368307
"528",528,2294.84545402572
"529",529,338.826565801554
"530",530,2908.70999266438
"531",531,3580.36634388611
"532",532,4145.20810274566
"533",533,3892.0361090043
"534",534,3533.5299272617
"535",535,3793.313366012
"536",536,1550.48646201715
"537",537,3049.01725193505
"538",538,3382.20294033269
"539",539,3638.1956449354
"540",540,3774.68963796337
"541",541,2587.52691687175
"542",542,2084.94791131518
"543",543,871.858603589558
"544",544,2970.59709722937
"545",545,1391.94238255257
"546",546,1788.40346258461
"547",547,1958.69483795429
"548",548,3189.25580451341
"549",549,4123.39965024373
"550",550,2335.67841784418
"551",551,6949.65658851405
"552",552,6144.08487218272
"553",553,2293.48044355009
"554",554,3726.23241749191
"555",555,3240.43449541079
"556",556,2901.47398221616
"557",557,3844.45959959293
"558",558,4196.99996769762
"559",559,2481.54528069842
"560",560,5624.37547816823
"561",561,5603.92260186257
"562",562,5756.54181428088
"563",563,6865.12024685452
"564",564,5215.97220528681
"565",565,6166.57144301767
"566",566,5775.9180991086
"567",567,6657.07651922943
"568",568,6998.05555399809
"569",569,7378.11854487154
"570",570,2592.52714437028
"571",571,4709.11935387136
"572",572,6477.53683674371
"573",573,6146.73694356326
"574",574,6029.35208847693
"575",575,6914.64672731363
"576",576,6887.46220392275
"577",577,4697.50126344337
"578",578,797.148420721343
"579",579,701.890258700516
"580",580,660.075099119672
"581",581,463.286056969095
"582",582,487.685044261011
"583",583,364.790348149983
"584",584,3.71981045448852
"585",585,656.587562420614
"586",586,2089.82525708439
"587",587,3519.46484854529
"588",588,3606.47363115245
"589",589,3566.34157855409
"590",590,3179.66282594957
"591",591,3156.35192669049
"592",592,1390.4922419253
"593",593,1467.88375512378
"594",594,1343.71454109088
"595",595,2354.4650995812
"596",596,1520.79676319877
"597",597,1830.52780020726
"598",598,1011.83548171928
"599",599,1988.41554872493
"600",600,1574.45737653904
"601",601,460.383963102845
"602",602,182.043286885714
"603",603,408.598458905429
"604",604,410.194926214954
"605",605,716.334882544515
"606",606,358.704109493599
"607",607,2822.44831880253
"608",608,1815.22897510933
"609",609,5372.54762901466
"610",610,5513.98202593418
"611",611,8266.72392845298
"612",612,4562.63797534517
"613",613,7761.33913977115
"614",614,4865.5984647117
"615",615,2139.23618131589
"616",616,882.136580921821
"617",617,1995.87252225426
"618",618,1241.32912923246
"619",619,882.635137856956
"620",620,2522.37294953743
"621",621,3384.46651600971
"622",622,3877.95031544133
"623",623,3664.51155600437
"624",624,4118.4921495219
"625",625,4658.70616877258
"626",626,3745.47134408998
"627",627,5943.05620938284
"628",628,5016.73148772906
"629",629,1334.15381420633
"630",630,2455.16007597591
"631",631,5054.75677263179
"632",632,6543.00602342743
"633",633,5980.34576060136
"634",634,5912.19677074424
"635",635,5648.9236239199
"636",636,4806.92686956502
