"","Element ID","/Layer_1/Native&Riparian Veg. Infiltration (+)(AF/year)"
"250",250,199.901203856925
"251",251,161.412451815323
"252",252,416.675079050768
"253",253,650.565468743084
"254",254,176.205090066783
"255",255,787.122942545569
"256",256,851.542153714318
"257",257,803.715893303203
"258",258,357.409471018655
"259",259,1004.9154262741
"260",260,1255.66961587758
"261",261,1204.84195609834
"262",262,445.147379929639
"263",263,332.085941062631
"264",264,317.85249269051
"265",265,608.812244375052
"266",266,397.483594358791
"267",267,624.909494462368
"268",268,612.793198090323
"269",269,0
"270",270,0
"271",271,0
"272",272,0
"273",273,53.3665265910031
"274",274,238.985406462277
"275",275,392.640256455773
"276",276,137.333888164519
"277",277,134.860563568112
"278",278,77.5650924771414
"279",279,4.01938239186367
"280",280,28.4396742555118
"281",281,75.7069429026077
"282",282,316.192300044156
"283",283,0
