"","Element ID","/Layer_1/Streams_Outflow (-)(AF/year)"
"260",260,23232.7462375134
"261",261,0
"262",262,0
"263",263,4529.94787720954
"264",264,4195.10618979098
"265",265,4649.67942379285
"266",266,20752.1327775612
"267",267,36030.7791077581
"268",268,8258.00670498504
"269",269,6456.94023053554
"270",270,4040.19640087001
"271",271,9456.24805096329
"272",272,3847.32598361428
"273",273,0
"274",274,0
"275",275,11301.8266111265
"276",276,6792.46767557188
"277",277,17023.9291888548
"278",278,15820.3979991628
"279",279,6178.16064302349
"280",280,7854.45382790907
"281",281,7637.93858759452
"282",282,11164.918951341
"283",283,6234.38824721117
"284",284,0
"285",285,0
"286",286,0
"287",287,5189.42703169264
"288",288,5558.32589174825
"289",289,15934.1576308818
"290",290,16501.8204332215
"291",291,18214.9620596972
"292",292,5382.67858175947
"293",293,6882.42500199804
"294",294,6239.59978012553
"295",295,8443.42553043573
"296",296,0
"297",297,0
"298",298,0
"299",299,0
"300",300,9041.25222858028
"301",301,29908.6890849036
"302",302,15368.7540407917
"303",303,4717.67191048305
"304",304,3813.93788190193
"305",305,9828.30615686184
"306",306,9551.58352089352
"307",307,0
"308",308,0
"309",309,0
"310",310,0
"311",311,4585.81229473913
"312",312,6691.52394798714
"313",313,15320.857103594
"314",314,13053.2951340338
"315",315,14454.1071885676
"316",316,6116.70251667732
"317",317,13391.6874162108
"318",318,11371.7467378134
"319",319,8243.43097585047
"320",320,6176.17634096578
"321",321,3490.45591532425
"322",322,7762.45527283913
"323",323,4903.90721161412
"324",324,0
"325",325,3819.92183215984
"326",326,8888.44601439134
"327",327,13300.8874711283
"328",328,21924.4597833603
"329",329,9420.97025555604
"330",330,10054.6768305177
"331",331,2730.57198369536
"332",332,8585.67998787407
"333",333,9911.23427371408
"334",334,7052.67143581565
"335",335,7693.9253782849
"336",336,5226.30672862302
"337",337,2090.15165614675
"338",338,3268.43987723297
"339",339,31548.0096081219
"340",340,31161.3758887503
"341",341,13244.9964446161
"342",342,6049.95142692334
"343",343,0
"344",344,0
"345",345,0
"346",346,0
"347",347,0
"348",348,3979.53643342212
"349",349,23181.235556726
"350",350,23263.9875530329
"351",351,18141.1569178409
"352",352,12997.8499156742
"353",353,4032.43775135532
"354",354,3946.15782247165
"355",355,4009.66035571291
"356",356,5833.594180086
"357",357,7631.3049799097
"358",358,5738.91087786909
"359",359,7554.27523071439
"360",360,13137.5211753822
"361",361,7373.0640124037
"362",362,3988.7704569761
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,0
"368",368,0
"369",369,0
"370",370,0
"371",371,0
"372",372,0
"373",373,0
"374",374,0
"375",375,8212.28723213306
"376",376,0
"377",377,0
"378",378,4467.28487151779
"379",379,0
"380",380,0
"381",381,0
"382",382,0
"383",383,0
"384",384,4336.24087979234
"385",385,11144.4830945351
"386",386,3748.36585572712
"387",387,3597.68001501714
"388",388,0
"389",389,6299.61261914667
"390",390,2652.03093417063
"391",391,4588.73851531207
"392",392,2355.57195698189
"393",393,1812.08795974865
"394",394,4371.77815692212
"395",395,1172.21513404425
"396",396,0
"397",397,0
"398",398,0
"399",399,2995.59953609912
"400",400,4940.44811783495
"401",401,5898.23249457095
"402",402,0
"403",403,0
"404",404,0
"405",405,0
"406",406,3544.34616797538
"407",407,7628.31120213692
"408",408,5845.22860422586
"409",409,3072.98360199623
"410",410,4231.14818432076
"411",411,2724.34469934517
"412",412,1481.22270645875
"413",413,3627.43400463477
"414",414,2771.31437846521
"415",415,8962.67004029818
"416",416,12530.7115935628
"417",417,4349.18549714022
"418",418,1758.5732956994
"419",419,324.891260079709
"420",420,3111.01708476214
"421",421,5164.39671816319
"422",422,4222.66007573177
"423",423,2428.03204866497
"424",424,2009.9355608051
"425",425,5231.71551990132
