"","Element ID","/Layer_1/Deep Percolation_Inflow (+)(AF/year)"
"356",356,12379.6269123113
"357",357,4050.25022702214
"358",358,5738.24589226684
"359",359,9014.10641032995
"360",360,18607.0648115641
"361",361,3625.42837395216
"362",362,3731.35268099976
"363",363,1525.24474378061
"364",364,5072.54222315208
"365",365,7658.42045658032
"366",366,12230.2382450279
"367",367,8259.77809395437
"368",368,6385.4429509167
"369",369,4888.29959560642
"370",370,7815.48989234715
"371",371,4274.55866092122
"372",372,2345.13999680239
"373",373,3356.30793689227
"374",374,9640.45474606517
"375",375,3811.99514079542
"376",376,2953.21976736607
"377",377,6782.08370048914
"378",378,3727.29356082043
"379",379,1873.82968224887
"380",380,2421.99390769942
"381",381,3020.43400568543
"382",382,7093.37183366259
"383",383,7415.20143637034
"384",384,5327.5411916863
"385",385,8857.74069657567
"386",386,1646.36244911327
"387",387,3245.04727556663
"388",388,1638.39469746305
"389",389,6023.1867916505
"390",390,5451.49689871288
"391",391,8432.49331361242
"392",392,2254.08944027603
"393",393,1444.6400688878
"394",394,5610.79516504663
"395",395,5087.19170190344
"396",396,4499.56392275914
"397",397,13600.911458733
"398",398,1239.28207596556
"399",399,597.245021472729
"400",400,2143.2971827374
"401",401,1073.82280333928
"402",402,9390.58975355504
"403",403,2951.18912318878
"404",404,6301.09184712857
"405",405,8349.23014508255
"406",406,3372.84498088679
"407",407,8975.13583663133
"408",408,12442.2747022325
"409",409,8866.89833924658
"410",410,5429.39207307986
"411",411,5397.64334939069
"412",412,11711.5873531927
"413",413,15578.4962262787
"414",414,1153.90442843437
"415",415,7435.23886111013
"416",416,4458.85519436293
"417",417,3890.32047550758
"418",418,2540.62587491978
"419",419,2992.38578062558
"420",420,3225.23317999561
"421",421,7567.55345270982
"422",422,3444.27758621828
"423",423,6830.20322239615
"424",424,11578.7978570157
"425",425,29056.439837632
"426",426,21351.9143775134
"427",427,12885.3678013957
"428",428,6641.86390333619
"429",429,6049.26589541158
"430",430,2599.26377354829
"431",431,2384.52468703183
"432",432,1089.42309704775
"433",433,1002.92618974097
"434",434,7621.17157748558
"435",435,3919.62726864535
"436",436,4184.72685489161
"437",437,4802.75389038791
"438",438,6403.94269185882
"439",439,1894.07257207729
"440",440,6129.17134377645
"441",441,9865.467671326
"442",442,17211.4012394711
"443",443,8801.14002434205
"444",444,1136.55125627509
"445",445,661.916845920524
"446",446,475.347726064308
"447",447,2448.8666715785
"448",448,1085.39016684546
"449",449,2239.03811336304
"450",450,1315.35055533611
"451",451,650.916118830575
"452",452,9379.27893646785
"453",453,8476.9576561306
"454",454,2776.99979712132
"455",455,1347.66908340431
"456",456,5849.39049339204
"457",457,5014.04722817632
"458",458,3174.17986706015
"459",459,4653.47462228729
"460",460,6181.32117832246
"461",461,3086.23955652292
"462",462,4850.7656819813
"463",463,12476.1331309589
"464",464,2901.26314544915
"465",465,1261.91420119624
"466",466,346.744090733814
"467",467,616.140850534925
"468",468,654.22243941029
"469",469,3119.44637646354
"470",470,2928.55701345194
"471",471,3628.02391149161
"472",472,15829.0150029845
"473",473,4948.31248672524
"474",474,6397.51072287643
"475",475,4255.48941140311
"476",476,5297.78898641253
"477",477,7602.5904700128
"478",478,3912.31709733221
"479",479,4487.60376385894
"480",480,1502.91352381936
"481",481,3927.8488380871
"482",482,2946.69918326499
"483",483,4481.14711567051
"484",484,1760.08505809543
"485",485,2471.001511779
"486",486,3775.18060928822
"487",487,940.341556470238
"488",488,2601.34858165621
"489",489,7349.6740427414
"490",490,1496.71660740924
"491",491,580.363839048079
"492",492,3859.37683582742
"493",493,4165.57344517192
"494",494,5604.39771818901
"495",495,8703.14568054198
"496",496,10675.2774085245
"497",497,14445.8546851672
"498",498,3390.32113156791
"499",499,4082.30519431463
"500",500,2629.56969751448
"501",501,665.30591772747
"502",502,8001.97410018523
"503",503,7793.79113949904
"504",504,18002.2070588531
"505",505,506.302739687219
"506",506,4496.66096556164
"507",507,28108.5305345838
"508",508,4456.31747223837
"509",509,16019.968750681
"510",510,12415.2069591367
"511",511,7120.59927052325
"512",512,6123.68832265137
"513",513,13498.2479247431
"514",514,17791.5154979004
"515",515,12079.8128880427
"516",516,6479.80967287794
"517",517,4303.07095570193
"518",518,5493.04535557548
"519",519,550.856176925249
"520",520,3116.50614218592
"521",521,13618.7580355299
"522",522,7971.64808371185
"523",523,14693.9452400673
"524",524,7713.12056747857
"525",525,9526.96247454271
"526",526,7626.83024640257
"527",527,1540.0723201056
"528",528,2344.05842977793
"529",529,1.24720561430498
"530",530,151.80373841559
"531",531,0.0100327665243613
"532",532,0.0534993952229669
"533",533,29164.5170632731
"534",534,21210.0514720731
"535",535,21134.5800842949
"536",536,10984.6807072371
"537",537,219.202210169435
"538",538,2018.67816700617
"539",539,1472.00319229895
"540",540,44116.8655224493
"541",541,37458.4493297374
"542",542,42621.3421242897
"543",543,37807.1408463835
"544",544,28252.6571531207
