"","Element ID","/Layer_1/Diversion Recoverable Loss_Inflow (+)(AF/year)"
"290",290,2182.11746031746
"291",291,5846.52984126984
"292",292,6462.21158898866
"293",293,2022.25757551429
"294",294,980.192731031661
"295",295,0
"296",296,940.154884151974
"297",297,0
"298",298,0
"299",299,293.252922824302
"300",300,612.816389824295
"301",301,2182.11746031746
"302",302,608.164365079365
"303",303,604.603057242627
"304",304,997.723280330528
"305",305,1279.86415960309
"306",306,1528.01060570879
"307",307,940.154884151974
"308",308,0
"309",309,0
"310",310,0
"311",311,293.252922824302
"312",312,2182.11746031746
"313",313,2320.3123015873
"314",314,2862.2623015873
"315",315,680.144841269841
"316",316,742.797898512468
"317",317,2373.74688975457
"318",318,1528.01060570879
"319",319,940.154884151974
"320",320,1208.73107462816
"321",321,268.576190476191
"322",322,881.526890756302
"323",323,881.526890756302
"324",324,0
"325",325,0
"326",326,0
"327",327,3440.86825396825
"328",328,1404.93547383408
"329",329,826.329521453127
"330",330,1064.09967887021
"331",331,26.8775510204082
"332",332,885.750992063492
"333",333,885.750992063492
"334",334,1293.78027777778
"335",335,408.029285714286
"336",336,881.526890756302
"337",337,881.526890756302
"338",338,0
"339",339,828.380091108019
"340",340,1117.29197277803
"341",341,487.555010091544
"342",342,1778.66582358361
"343",343,885.750992063492
"344",344,885.750992063492
"345",345,1014.67670634921
"346",346,1481.42334695138
"347",347,1481.42334695138
"348",348,881.526890756302
"349",349,1610.91824271303
"350",350,1387.89272620621
"351",351,729.391351956731
"352",352,77.6588798963313
"353",353,1213.85669215711
"354",354,881.526890756302
"355",355,881.526890756302
"356",356,881.526890756303
"357",357,658.501374249478
"358",358,736.160254145809
"359",359,425.478291553733
"360",360,1188.62923308597
"361",361,1188.62923308597
"362",362,1213.85669215711
"363",363,885.750992063492
"364",364,885.750992063492
"365",365,885.750992063492
"366",366,1014.67670634921
"367",367,128.925714285714
"368",368,111.357156475191
"369",369,1014.67670634921
"370",370,240.975546871433
"371",371,310.614404761905
"372",372,181.68869047619
"373",373,293.045846951382
"374",374,293.045846951382
"375",375,1287.87917215157
"376",376,1314.75672317198
"377",377,1215.50678410638
"378",378,99.2499390656017
"379",379,238.177322671729
"380",380,112.049832585719
"381",381,112.049832585719
"382",382,393.385157015003
"383",383,801.730513593204
"384",384,473.512708679879
