"","Element ID","/Layer_1/Small Watershed Percolation_Inflow (+)(AF/year)"
"262",262,210.491216740392
"263",263,56.5141462332406
"264",264,10.9298633415942
"265",265,12.1142012585885
"266",266,0
"267",267,234.19982007532
"268",268,186.100809854998
"269",269,41.514662250158
"270",270,33.1686969242668
"271",271,84.0867677800578
"272",272,14.3951625800387
"273",273,39.1515185706717
"274",274,94.1719890104062
"275",275,89.9771838122843
"276",276,28.7835982477368
"277",277,0
"278",278,0
"279",279,0
"280",280,0
"281",281,17.0352737927431
"282",282,16.1934028371876
"283",283,0
"284",284,12.0739453226055
"285",285,81.9327032422867
"286",286,98.6062847712029
"287",287,62.3410565560031
"288",288,54.2870123608605
"289",289,49.1517632962387
"290",290,0
"291",291,0
"292",292,0
"293",293,0
"294",294,100.895201170913
"295",295,331.386967266926
"296",296,264.510772054987
"297",297,13.747443551547
