"","Element ID","/Layer_1/Streams_Inflow (+)(AF/year)"
"615",615,2872.7398216218
"616",616,891.038349097986
"617",617,1560.01267953187
"618",618,0
"619",619,0
"620",620,0
"621",621,1312.21209862486
"622",622,0
"623",623,0
"624",624,0
"625",625,2199.04676617239
"626",626,1461.09381652011
"627",627,367.861908514064
"628",628,1086.62036158829
"629",629,1286.81413696542
"630",630,2027.35460197311
"631",631,2095.00931487662
"632",632,1025.15122192248
"633",633,1548.48562280755
"634",634,0
"635",635,886.975128938676
"636",636,1243.69442327315
"637",637,283.988769248294
"638",638,0
"639",639,0
"640",640,0
"641",641,0
"642",642,0
"643",643,0
"644",644,0
"645",645,558.932233768939
"646",646,1669.03518802974
"647",647,1485.6682271729
"648",648,4967.86553252564
"649",649,4594.53018075642
"650",650,3722.34375896391
"651",651,0
"652",652,0
"653",653,0
"654",654,0
"655",655,0
"656",656,3793.59709490585
"657",657,4518.5227786691
"658",658,3555.61122136415
"659",659,3838.03660779174
"660",660,0
"661",661,1694.76853083266
"662",662,4089.37441561441
"663",663,5634.55461304985
"664",664,5616.0767501397
"665",665,3325.5415962945
"666",666,3965.74582966988
"667",667,4704.82707972729
"668",668,2406.33947459647
"669",669,2897.42213525617
"670",670,0
"671",671,2939.76599521844
"672",672,3234.76096884883
"673",673,0
"674",674,0
"675",675,0
"676",676,0
"677",677,0
"678",678,0
"679",679,0
"680",680,330.916777879892
"681",681,1030.61345219879
"682",682,1938.9212165059
"683",683,1063.44543891216
"684",684,1238.69115814149
"685",685,0
"686",686,0
"687",687,0
"688",688,0
"689",689,0
"690",690,0
"691",691,0
"692",692,1749.41593590905
"693",693,2023.79787169639
"694",694,2521.81857123442
"695",695,1225.42374563339
"696",696,1766.13751982595
"697",697,2871.44428902183
"698",698,2056.28084311044
"699",699,1549.84441601706
"700",700,2622.12685845446
"701",701,3704.4900397162
"702",702,2995.06895727229
"703",703,6121.05821137292
"704",704,2769.17183839037
"705",705,1049.33784498987
"706",706,1965.82941405436
"707",707,1815.15751896423
"708",708,1494.03125952525
"709",709,3406.1981762306
"710",710,4750.29099938594
"711",711,2897.74185980985
"712",712,3905.4229011854
"713",713,1609.49654826486
"714",714,2530.61308269841
"715",715,1243.08188504531
"716",716,3005.03254369706
"717",717,1356.75058570805
"718",718,0
"719",719,0
"720",720,0
"721",721,0
"722",722,0
"723",723,0
"724",724,0
"725",725,0
"726",726,0
"727",727,682.848135289233
"728",728,3611.19072663207
"729",729,4064.63211892338
"730",730,5006.89857712178
"731",731,0
"732",732,1654.92931464761
"733",733,1204.09587938642
"734",734,0
"735",735,0
"736",736,0
"737",737,0
"738",738,1421.22122739855
"739",739,2045.40475227503
"740",740,1544.55738115466
"741",741,1901.89622532024
"742",742,2725.19603895049
"743",743,1500.93379442042
"744",744,2193.2316799689
"745",745,2143.15312633358
"746",746,1577.0641869017
"747",747,3012.4545433955
"748",748,0
"749",749,0
"750",750,0
"751",751,0
"752",752,496.548282467161
"753",753,252.707064316087
"754",754,2822.22928722278
"755",755,2510.2209922727
"756",756,1920.36880465859
"757",757,3805.01926721145
"758",758,3594.28928979698
"759",759,1894.52510297011
"760",760,2749.55738904974
"761",761,3214.29733478011
"762",762,2149.45393976494
"763",763,1960.57764129022
"764",764,627.417142220778
"765",765,1997.84592305636
"766",766,505.409851534615
"767",767,1863.1773176416
"768",768,717.200956790352
"769",769,1546.30491984842
"770",770,811.854328791016
"771",771,1263.67922849646
"772",772,2886.45461441779
"773",773,0
"774",774,0
"775",775,0
"776",776,0
"777",777,0
"778",778,0
"779",779,0
"780",780,813.081370746991
"781",781,3249.27641236545
"782",782,1112.20035008235
"783",783,689.296698689381
"784",784,36.2425263358845
"785",785,227.153288380042
"786",786,1284.7350154227
"787",787,3192.88530310537
"788",788,3230.22483653786
"789",789,3656.16453734503
"790",790,5543.88833802255
"791",791,0
"792",792,2847.28665514222
"793",793,0
"794",794,0
"795",795,0
"796",796,0
"797",797,0
"798",798,0
"799",799,0
"800",800,478.386195074368
"801",801,658.927700299164
"802",802,2886.47318252983
"803",803,1943.69867283252
"804",804,1388.02520700846
"805",805,1721.79602567851
"806",806,1499.09175274081
"807",807,946.021949734322
"808",808,613.709009688926
"809",809,3412.0156393538
"810",810,370.995358482759
"811",811,503.82250868876
"812",812,2661.025434074
"813",813,1844.26877509085
"814",814,6186.54658191406
"815",815,8706.31690932114
"816",816,7907.66553183373
"817",817,7816.02519926175
"818",818,0
"819",819,0
"820",820,0
"821",821,0
"822",822,0
"823",823,2744.72298758743
"824",824,5010.63880794152
"825",825,7888.94228185019
"826",826,6564.43091159423
"827",827,13789.0181363853
"828",828,678.490400086761
"829",829,0
"830",830,0
"831",831,2270.80844010927
"832",832,1274.83714658208
"833",833,4096.34511726454
"834",834,5526.7927043662
"835",835,3245.10043668252
"836",836,4305.84950961872
"837",837,5148.22883823202
"838",838,6410.43856590198
"839",839,13811.9079236979
"840",840,2820.79082583371
"841",841,251.765088688911
"842",842,669.2609808773
"843",843,46.649132496064
"844",844,0
"845",845,1319.76331588795
"846",846,52.8873389731275
"847",847,0
"848",848,2409.05664423454
"849",849,993.183459255175
"850",850,4608.72031522704
"851",851,4129.49967725258
