"","Element ID","/Layer_4/Subsidence_Outflow (-)(AF/year)"
"199",199,0.00662397197386153
"200",200,0.00599332927841728
"201",201,0.00567909761343523
"202",202,0.00682512292398279
"203",203,0.00669206028520238
"204",204,0.00593055326199395
"205",205,0.00441205274209778
"206",206,0.00387311339733679
"207",207,0.00346466638789857
"208",208,0.00237552015767198
"209",209,0.00199651387433036
"210",210,0.0032901534858669
"211",211,0.00545584111842717
"212",212,0.00725342403317833
"213",213,0.00653644899998428
"214",214,0.00582077764300283
"215",215,0.00609528378670469
"216",216,0.00158348351182393
"217",217,0.00450703946009021
"218",218,0.00691940564302969
"219",219,0.00312624724706133
"220",220,0.00626917338966361
"221",221,0.00194206937905848
"222",222,0.0111192232012698
"223",223,0.00831434705898372
"224",224,0.0153457263969554
"225",225,0.0092913775410898
"226",226,0.0108704288857508
