"","V1"
"310",1677.46987278456
"311",7248.17172172009
"312",1607.5664139743
"313",2693.71693140344
"314",304.774312053872
"315",12777.4316918429
"316",11410.0641051128
"317",6048.40526465336
"318",11371.2159215671
"319",17983.6973568688
"320",1261.8022211418
"321",30.4153770397839
"322",15675.9340055764
"323",7803.70545274382
"324",1366.27639915151
"325",19601.1600073972
"326",6192.81635288341
"327",517.933557084138
"328",3786.19300814157
"329",11433.8319595538
"330",22043.9623773075
"331",13570.3314445584
"332",21064.5021081265
"333",55697.0632628545
"334",5465.67437762645
"335",2554.7701494525
"336",13865.1244935174
"337",2460.9710006
"338",28992.6436840149
"339",19618.7009267319
"340",7363.25764293737
"341",29662.9607251748
"342",3388.09233478891
"343",12214.4818516633
"344",6922.72584956367
"345",15662.5264050558
"346",5459.55704880947
"347",4990.24194098992
"348",7867.73057168972
"349",13681.8580909888
"350",15626.3120065737
"351",16938.6284507088
"352",25687.0386639664
"353",1628.75302954128
"354",12228.8468345723
"355",11105.0098382332
"356",13095.088005278
"357",12391.2502173653
"358",7519.64893983338
"359",7184.23250338504
"360",7051.7899659088
"361",4119.04220412646
"362",4566.61528538744
"363",2963.51314652515
"364",7022.01693590503
"365",9424.48268650176
"366",8884.62756540018
"367",6324.62371703897
"368",615.753341536554
"369",4206.99766710297
"370",6686.29107909435
"371",3690.05216731813
"372",1882.32522588803
"373",910.791187230991
"374",992.992217398993
"375",6576.95702134577
"376",3991.03733498661
"377",4136.80311624117
"378",6277.64658796298
"379",3801.0938081264
"380",4527.04930536535
"381",5082.82657593567
"382",5039.70146579731
"383",1281.58423019437
"384",3305.41958971569
"385",2709.19557155865
"386",396.064161454103
"387",1208.60423753196
"388",4296.3289592332
"389",5875.70299877577
"390",1619.42650181462
"391",240.259251679202
"392",5997.77045292546
"393",4340.04135389914
"394",7967.31956266517
"395",1643.56511588681
"396",1083.44362271095
"397",0
"398",1199.52435799886
"399",222.435979681718
"400",211.629413864843
"401",852.098790460811
"402",7754.9068133368
"403",7178.53491751091
"404",8765.71642318168
"405",9680.24999974338
"406",2779.28732032366
"407",9457.72364608218
"408",9417.6639690582
"409",6006.49602146609
"410",8794.19423022437
"411",6065.97857820348
"412",14285.1862627673
"413",21223.1337210334
"414",7650.60837329859
"415",4681.2987914485
"416",4976.98279682207
"417",5664.36724062472
"418",3762.34576013693
"419",7451.13468933504
"420",4511.08795117076
"421",7755.45005145561
"422",3316.97530944134
"423",6901.6188125208
"424",14721.190570379
"425",17178.3225489834
"426",13032.0559821447
"427",21342.1683908058
"428",13333.2625233697
"429",8723.49751075813
"430",5286.95966290445
"431",4398.54274794495
"432",2155.14050489441
"433",1796.20928967514
"434",13136.8854285733
"435",14057.8125037802
"436",9660.05455480954
"437",1929.33245056397
"438",498.204735213586
"439",4.53440100718284
"440",1134.24322458722
"441",8742.62844273052
"442",9343.78978958993
"443",20304.7595422971
"444",6846.1032732651
"445",3077.99990316373
"446",1538.10265585032
