"","Element ID","GW pumping (AF/year)"
"227",227,278.693313463711
"228",228,160.375622414024
"229",229,149.882830103061
"230",230,85.5731389664523
"231",231,111.343821587581
"232",232,71.3074081228171
"233",233,62.8387038589567
"234",234,284.562964155533
"235",235,87.3969304093643
"236",236,148.517385497683
"237",237,330.252139258262
"238",238,391.07005908226
"239",239,228.613149554418
"240",240,182.01964374813
"241",241,560.068482644749
"242",242,89.0228049222378
"243",243,351.011901444408
"244",244,460.735349306455
"245",245,345.343357967307
"246",246,203.13938751793
"247",247,111.650648883433
"248",248,268.855861652581
"249",249,263.732679456321
"250",250,208.247166986873
"251",251,244.665070534692
"252",252,217.347228345366
"253",253,362.266374956008
"254",254,78.353949999011
"255",255,416.077426587825
"256",256,383.050878715943
"257",257,375.329492613934
"258",258,173.427056698098
"259",259,532.572195957161
